,precision,recall,f1-score,support
1,0.0,0.0,0.0,0.0
2,0.2357142857142857,0.018131868131868133,0.0336734693877551,1820.0
3,0.0917516218721038,0.10668103448275862,0.09865470852017938,928.0
4,0.0,0.0,0.0,0.0
5,0.10909090909090909,0.052805280528052806,0.07116382505559674,909.0
6,0.0,0.0,0.0,0.0
7,0.18192419825072886,0.17439910564561206,0.17808219178082188,1789.0
8,0.10207612456747404,0.1787878787878788,0.1299559471365639,990.0
9,0.0,0.0,0.0,0.0
10,0.2831372549019608,0.12856125356125356,0.17683076169483222,2808.0
accuracy,,,,0.11142362613587192
macro avg,0.10036943943974623,0.0659366421137424,0.06883609035757492,9244.0
weighted avg,0.19849375889420248,0.11142362613587192,0.12562866814887017,9244.0
