,precision,recall,f1-score,support,,,,
0,0.51,0.00,0.01,4640,,,recall,precision
1,0.00,0.00,0.00,0,,,0,0.51
2,0.10,0.10,0.10,931,,,0.1,0.1
3,0.05,0.08,0.06,474,,,0.08,0.05
4,0.00,0.00,0.00,0,,,0.01,0.05
5,0.05,0.01,0.02,457,,,0.12,0.08
6,0.00,0.00,0.00,0,,,0.12,0.05
7,0.08,0.12,0.10,860,,,0.26,0.16
8,0.05,0.12,0.07,472,,,,
9,0.00,0.00,0.00,0,,,0.098571429,0.142857143
10,0.16,0.26,0.20,1410,,,,
accuracy,,,,0.073885764,,,,
macro avg,0.09,0.06,0.05,9244,,,,
weighted avg,0.31,0.07,0.06,9244,,,,
