,precision,recall,f1-score,support
0,0.0,0.0,0.0,4604.0
1,0.04808548530721282,0.12134831460674157,0.06887755102040816,445.0
2,0.043478260869565216,0.015350877192982455,0.022690437601296593,456.0
3,0.06474820143884892,0.055327868852459015,0.05966850828729282,488.0
4,0.0,0.0,0.0,0.0
5,0.13414634146341464,0.12899786780383796,0.1315217391304348,938.0
6,0.06983240223463687,0.05530973451327434,0.061728395061728406,452.0
7,0.045951859956236324,0.09090909090909091,0.06104651162790698,462.0
8,0.05389541088580576,0.22544642857142858,0.08699397071490093,448.0
9,0.052106430155210645,0.18146718146718147,0.08096468561584842,518.0
10,0.05660377358490566,0.10392609699769054,0.07328990228013028,433.0
accuracy,,,,0.05581999134573778
macro avg,0.05171346962689425,0.08891667826497153,0.05879833648544976,9244.0
weighted avg,0.03538405803574361,0.05581999134573778,0.039185983314084315,9244.0
