,precision,recall,f1-score,support
0.0,0.36585365853658536,0.5,0.4225352112676056,30.0
1.0,0.2549019607843137,0.48148148148148145,0.3333333333333333,27.0
2.0,0.3125,0.19230769230769232,0.23809523809523808,26.0
3.0,0.3103448275862069,0.3,0.3050847457627119,30.0
4.0,0.4,0.27586206896551724,0.32653061224489793,29.0
5.0,0.6,0.2571428571428571,0.36,35.0
6.0,0.5128205128205128,0.5128205128205128,0.5128205128205128,39.0
7.0,0.29411764705882354,0.1724137931034483,0.21739130434782608,29.0
8.0,0.3181818181818182,0.25,0.28,28.0
9.0,0.48,0.8888888888888888,0.6233766233766234,27.0
accuracy,,,,0.38333333333333336
macro avg,0.38487204249682605,0.3830917294710398,0.36191675812487495,300.0
weighted avg,0.3943060339955234,0.38333333333333336,0.3668799310458118,300.0
