,precision,recall,f1-score,support
0.0,0.234375,1.0,0.379746835443038,30.0
1.0,0.625,0.18518518518518517,0.2857142857142857,27.0
2.0,0.0,0.0,0.0,26.0
3.0,0.0,0.0,0.0,30.0
4.0,0.5,0.06896551724137931,0.12121212121212122,29.0
5.0,0.375,0.08571428571428572,0.13953488372093023,35.0
6.0,0.375,0.07692307692307693,0.1276595744680851,39.0
7.0,0.2777777777777778,0.3448275862068966,0.3076923076923077,29.0
8.0,0.3333333333333333,0.10714285714285714,0.16216216216216217,28.0
9.0,0.24719101123595505,0.8148148148148148,0.3793103448275862,27.0
accuracy,,,,0.26
macro avg,0.29676771223470666,0.26835733232284953,0.19030325152405164,300.0
weighted avg,0.3007309873075323,0.26,0.18729761133726178,300.0
