,precision,recall,f1-score,support
0,0.34893617021276596,0.5478841870824054,0.42634315424610053,449.0
1,0.35083532219570407,0.28654970760233917,0.315450643776824,513.0
2,0.3213429256594724,0.26693227091633465,0.2916213275299238,502.0
3,0.371007371007371,0.2887189292543021,0.3247311827956989,523.0
4,0.5369978858350951,0.5570175438596491,0.5468245425188375,456.0
5,0.5753768844221105,0.4673469387755102,0.5157657657657657,490.0
6,0.3548387096774194,0.3503184713375796,0.3525641025641026,471.0
7,0.3416815742397138,0.3398576512455516,0.3407671721677074,562.0
8,0.3424657534246575,0.30120481927710846,0.32051282051282054,498.0
9,0.36022253129346316,0.4832089552238806,0.4127490039840637,536.0
accuracy,,,,0.3852
macro avg,0.3903705127967773,0.38890394745746615,0.38473297158618447,5000.0
weighted avg,0.388317774539407,0.3852,0.3819954963933568,5000.0
