,precision,recall,f1-score,support
0,0.46308724832214765,0.4394904458598726,0.45098039215686275,157.0
1,0.4083333333333333,0.3288590604026846,0.3643122676579926,149.0
2,0.4,0.22929936305732485,0.291497975708502,157.0
3,0.35555555555555557,0.22377622377622378,0.27467811158798283,143.0
4,0.23846153846153847,0.20945945945945946,0.22302158273381295,148.0
5,0.3627450980392157,0.4228571428571429,0.39050131926121373,175.0
6,0.4224137931034483,0.296969696969697,0.3487544483985765,165.0
7,0.2342007434944238,0.45323741007194246,0.3088235294117647,139.0
8,0.2540983606557377,0.2627118644067797,0.25833333333333336,118.0
9,0.3904761904761905,0.5503355704697986,0.4568245125348189,149.0
accuracy,,,,0.344
macro avg,0.3529371861441591,0.3416996237330926,0.33677274727848605,1500.0
weighted avg,0.35758683139532144,0.344,0.3403311113222155,1500.0
