,precision,recall,f1-score,support
0,0.3782608695652174,0.58,0.45789473684210524,150.0
1,0.3333333333333333,0.32903225806451614,0.33116883116883117,155.0
2,0.4883720930232558,0.2692307692307692,0.34710743801652894,156.0
3,0.4344262295081967,0.3375796178343949,0.37992831541218636,157.0
4,0.4530386740331492,0.5540540540540541,0.49848024316109424,148.0
5,0.46923076923076923,0.41496598639455784,0.4404332129963899,147.0
6,0.4074074074074074,0.3793103448275862,0.39285714285714285,145.0
7,0.4411764705882353,0.3973509933774834,0.4181184668989547,151.0
8,0.5038759689922481,0.4304635761589404,0.4642857142857143,151.0
9,0.51010101010101,0.7214285714285714,0.5976331360946746,140.0
accuracy,,,,0.438
macro avg,0.4419222825782823,0.44134161713708736,0.4327907237733622,1500.0
weighted avg,0.44134302822970783,0.438,0.4308050664216752,1500.0
