,precision,recall,f1-score,support
0,0.3953488372093023,0.7933333333333333,0.5277161862527716,150.0
1,0.3218390804597701,0.18064516129032257,0.23140495867768596,155.0
2,0.5070422535211268,0.23076923076923078,0.31718061674008813,156.0
3,0.4861111111111111,0.2229299363057325,0.3056768558951965,157.0
4,0.40229885057471265,0.7094594594594594,0.5134474327628362,148.0
5,0.38372093023255816,0.22448979591836735,0.2832618025751073,147.0
6,0.41496598639455784,0.4206896551724138,0.4178082191780822,145.0
7,0.4695121951219512,0.5099337748344371,0.4888888888888889,151.0
8,0.47572815533980584,0.32450331125827814,0.3858267716535433,151.0
9,0.42788461538461536,0.6357142857142857,0.5114942528735632,140.0
accuracy,,,,0.42133333333333334
macro avg,0.4284452015349511,0.42524679440558605,0.3982705985497763,1500.0
weighted avg,0.42890522185095054,0.42133333333333334,0.39626653071495016,1500.0
