,precision,recall,f1-score,support
0,0.546583850931677,0.5432098765432098,0.544891640866873,162.0
1,0.39644970414201186,0.41358024691358025,0.40483383685800606,162.0
2,0.43356643356643354,0.4217687074829932,0.42758620689655175,147.0
3,0.3333333333333333,0.3380281690140845,0.3356643356643357,142.0
4,0.43023255813953487,0.26618705035971224,0.3288888888888889,139.0
5,0.25757575757575757,0.23943661971830985,0.24817518248175183,142.0
6,0.3333333333333333,0.35333333333333333,0.343042071197411,150.0
7,0.3227848101265823,0.3333333333333333,0.3279742765273312,153.0
8,0.2318840579710145,0.18823529411764706,0.2077922077922078,170.0
9,0.3619047619047619,0.5714285714285714,0.44314868804664725,133.0
accuracy,,,,0.36533333333333334
macro avg,0.3647648601024441,0.3668541202244775,0.3611997335220004,1500.0
weighted avg,0.364771211522975,0.36533333333333334,0.36082086184046414,1500.0
