,precision,recall,f1-score,support
0,0.23790322580645162,0.4068965517241379,0.3002544529262086,145.0
1,0.24166666666666667,0.1746987951807229,0.2027972027972028,166.0
2,0.20673076923076922,0.2925170068027211,0.24225352112676055,147.0
3,0.07407407407407407,0.047244094488188976,0.05769230769230769,127.0
4,0.30272108843537415,0.5933333333333334,0.40090090090090097,150.0
5,0.18699186991869918,0.1564625850340136,0.17037037037037037,147.0
6,0.22,0.06748466257668712,0.10328638497652581,163.0
7,0.25925925925925924,0.12727272727272726,0.17073170731707316,165.0
8,0.21052631578947367,0.1111111111111111,0.14545454545454545,144.0
9,0.2694063926940639,0.4041095890410959,0.3232876712328767,146.0
accuracy,,,,0.23733333333333334
macro avg,0.22092796618748317,0.23811304565647395,0.21170290647947718,1500.0
weighted avg,0.22372822241405524,0.23733333333333334,0.21231391240314512,1500.0
