,precision,recall,f1-score,support
0,0.18341708542713567,0.553030303030303,0.27547169811320754,132.0
1,0.2107843137254902,0.296551724137931,0.24641833810888253,145.0
2,0.09090909090909091,0.00641025641025641,0.011976047904191616,156.0
3,0.21367521367521367,0.17006802721088435,0.1893939393939394,147.0
4,0.2826086956521739,0.08609271523178808,0.1319796954314721,151.0
5,0.0,0.0,0.0,149.0
6,0.2736842105263158,0.1566265060240964,0.19923371647509577,166.0
7,0.15053763440860216,0.09395973154362416,0.11570247933884298,149.0
8,0.18840579710144928,0.08125,0.11353711790393015,160.0
9,0.2185430463576159,0.6827586206896552,0.33110367892976594,145.0
accuracy,,,,0.20466666666666666
macro avg,0.18125650877830873,0.21267478842785384,0.16148167115993278,1500.0
weighted avg,0.18182408275631143,0.20466666666666666,0.15881297894443,1500.0
