,precision,recall,f1-score,support
0,0.17355371900826447,0.14482758620689656,0.15789473684210525,145.0
1,0.19298245614035087,0.19879518072289157,0.19584569732937684,166.0
2,0.3125,0.06802721088435375,0.111731843575419,147.0
3,0.0967741935483871,0.07086614173228346,0.0818181818181818,127.0
4,0.2743589743589744,0.7133333333333334,0.3962962962962963,150.0
5,0.10309278350515463,0.06802721088435375,0.0819672131147541,147.0
6,0.046153846153846156,0.018404907975460124,0.026315789473684213,163.0
7,0.16981132075471697,0.05454545454545454,0.08256880733944953,165.0
8,0.0,0.0,0.0,144.0
9,0.1592356687898089,0.5136986301369864,0.2431118314424635,146.0
accuracy,,,,0.18466666666666667
macro avg,0.15284629622595036,0.18505256564220135,0.1377550397231731,1500.0
weighted avg,0.15368469158410863,0.18466666666666667,0.1380812611689401,1500.0
