,precision,recall,f1-score,support
0,0.14444444444444443,0.1447661469933185,0.1446051167964405,449.0
1,0.20550458715596331,0.21832358674463936,0.21172022684310018,513.0
2,0.20448548812664907,0.30876494023904383,0.24603174603174602,502.0
3,0.23407202216066483,0.3231357552581262,0.2714859437751004,523.0
4,0.14248704663212436,0.1206140350877193,0.13064133016627077,456.0
5,0.33755274261603374,0.4897959183673469,0.3996669442131557,490.0
6,0.020905923344947737,0.012738853503184714,0.0158311345646438,471.0
7,0.09981515711645102,0.09608540925266904,0.09791477787851315,562.0
8,0.16546762589928057,0.04618473895582329,0.07221350078492936,498.0
9,0.24078091106290672,0.20708955223880596,0.2226680040120361,536.0
accuracy,,,,0.198
macro avg,0.1795515948559466,0.1967498936640677,0.1812778725065936,5000.0
weighted avg,0.18062599655295022,0.198,0.18244829024474193,5000.0
