,precision,recall,f1-score,support
0,0.2535211267605634,0.12244897959183673,0.1651376146788991,147.0
1,0.175,0.21739130434782608,0.19390581717451524,161.0
2,0.25396825396825395,0.10666666666666667,0.15023474178403756,150.0
3,0.08,0.02857142857142857,0.042105263157894736,140.0
4,0.2562814070351759,0.34,0.2922636103151863,150.0
5,0.2857142857142857,0.4642857142857143,0.35374149659863946,168.0
6,0.23,0.18699186991869918,0.2062780269058296,123.0
7,0.1774193548387097,0.1456953642384106,0.16,151.0
8,0.35135135135135137,0.38011695906432746,0.3651685393258427,171.0
9,0.2127659574468085,0.3597122302158273,0.26737967914438504,139.0
accuracy,,,,0.24133333333333334
macro avg,0.22760217371151487,0.23518805169007367,0.219621478908523,1500.0
weighted avg,0.23061061768743327,0.24133333333333334,0.22422261329577403,1500.0
