,precision,recall,f1-score,support
0,0.11469534050179211,0.2318840579710145,0.15347721822541965,138.0
1,0.1506849315068493,0.2357142857142857,0.18384401114206128,140.0
2,0.08333333333333333,0.03289473684210526,0.04716981132075472,152.0
3,0.043010752688172046,0.025157232704402517,0.031746031746031744,159.0
4,0.19047619047619047,0.17142857142857143,0.18045112781954886,140.0
5,0.3557692307692308,0.5138888888888888,0.42045454545454547,144.0
6,0.1781609195402299,0.21830985915492956,0.1962025316455696,142.0
7,0.10526315789473684,0.05952380952380952,0.07604562737642585,168.0
8,0.11946902654867257,0.16167664670658682,0.13740458015267176,167.0
9,0.1,0.013333333333333334,0.023529411764705882,150.0
accuracy,,,,0.16133333333333333
macro avg,0.14408628832592077,0.16638114222679276,0.14503248966477347,1500.0
weighted avg,0.14150736545092324,0.16133333333333333,0.14137097468444942,1500.0
