,precision,recall,f1-score,support
0,0.046875,0.021739130434782608,0.0297029702970297,138.0
1,0.19230769230769232,0.17857142857142858,0.18518518518518517,140.0
2,0.13291139240506328,0.13815789473684212,0.13548387096774195,152.0
3,0.06896551724137931,0.050314465408805034,0.05818181818181818,159.0
4,0.15760869565217392,0.20714285714285716,0.17901234567901234,140.0
5,0.11666666666666667,0.04861111111111111,0.06862745098039216,144.0
6,0.1,0.1056338028169014,0.10273972602739725,142.0
7,0.13541666666666666,0.07738095238095238,0.09848484848484848,168.0
8,0.1377245508982036,0.2754491017964072,0.18363273453093812,167.0
9,0.13942307692307693,0.19333333333333333,0.16201117318435754,150.0
accuracy,,,,0.13066666666666665
macro avg,0.12278992587609228,0.1296334077733421,0.12030621235187211,1500.0
weighted avg,0.12285903649319448,0.13066666666666665,0.12061087528455024,1500.0
