,precision,recall,f1-score,support
0,0.36470588235294116,0.5166666666666667,0.42758620689655175,60.0
1,0.28169014084507044,0.3448275862068966,0.31007751937984496,58.0
2,0.13114754098360656,0.1568627450980392,0.14285714285714285,51.0
3,0.13636363636363635,0.12,0.1276595744680851,50.0
4,0.3,0.2465753424657534,0.2706766917293233,73.0
5,0.25806451612903225,0.4067796610169492,0.31578947368421056,59.0
6,0.625,0.07692307692307693,0.13698630136986303,65.0
7,0.32075471698113206,0.30357142857142855,0.3119266055045871,56.0
8,0.2549019607843137,0.21311475409836064,0.2321428571428571,61.0
9,0.3108108108108108,0.34328358208955223,0.326241134751773,67.0
accuracy,,,,0.275
macro avg,0.2983439205250543,0.2728604843136723,0.26019435077842384,600.0
weighted avg,0.3063558367554335,0.275,0.26348368133655453,600.0
