,precision,recall,f1-score,support
0,0.2571428571428571,0.34615384615384615,0.29508196721311475,52.0
1,0.24675324675324675,0.2714285714285714,0.25850340136054417,70.0
2,0.38,0.2638888888888889,0.3114754098360656,72.0
3,0.37037037037037035,0.17857142857142858,0.24096385542168672,56.0
4,0.44,0.3384615384615385,0.3826086956521739,65.0
5,0.3717948717948718,0.4264705882352941,0.3972602739726027,68.0
6,0.19047619047619047,0.2553191489361702,0.21818181818181817,47.0
7,0.37777777777777777,0.25757575757575757,0.3063063063063063,66.0
8,0.17391304347826086,0.0784313725490196,0.10810810810810811,51.0
9,0.3247863247863248,0.7169811320754716,0.44705882352941173,53.0
accuracy,,,,0.31333333333333335
macro avg,0.31330146825799,0.3133282272875987,0.2965548659581832,600.0
weighted avg,0.32099317097288105,0.31333333333333335,0.3015356041349892,600.0
