,precision,recall,f1-score,support
0,0.3010752688172043,0.345679012345679,0.3218390804597701,162.0
1,0.2463768115942029,0.20987654320987653,0.22666666666666666,162.0
2,0.2756183745583039,0.5306122448979592,0.3627906976744186,147.0
3,0.5789473684210527,0.15492957746478872,0.24444444444444444,142.0
4,0.7040816326530612,0.49640287769784175,0.5822784810126582,139.0
5,0.5418994413407822,0.6830985915492958,0.6043613707165109,142.0
6,0.5984848484848485,0.5266666666666666,0.5602836879432624,150.0
7,0.5147058823529411,0.22875816993464052,0.3167420814479638,153.0
8,0.46938775510204084,0.27058823529411763,0.34328358208955223,170.0
9,0.35714285714285715,0.7518796992481203,0.48426150121065376,133.0
accuracy,,,,0.4106666666666667
macro avg,0.4587720240467295,0.4198491618308986,0.4046951593665901,1500.0
weighted avg,0.454699585101166,0.4106666666666667,0.3992829189836707,1500.0
