,precision,recall,f1-score,support
0,0.4777777777777778,0.9347826086956522,0.6323529411764706,138.0
1,0.3963963963963964,0.3142857142857143,0.350597609561753,140.0
2,0.5251798561151079,0.48026315789473684,0.5017182130584192,152.0
3,0.3691275167785235,0.6918238993710691,0.4814004376367615,159.0
4,0.34579439252336447,0.2642857142857143,0.29959514170040485,140.0
5,0.5068493150684932,0.2569444444444444,0.34101382488479265,144.0
6,0.3092105263157895,0.33098591549295775,0.3197278911564626,142.0
7,0.6153846153846154,0.14285714285714285,0.2318840579710145,168.0
8,0.4280442804428044,0.6946107784431138,0.5296803652968036,167.0
9,0.55,0.14666666666666667,0.23157894736842105,150.0
accuracy,,,,0.426
macro avg,0.4523764676802872,0.42575060424372113,0.3919549429811303,1500.0
weighted avg,0.4550805756031001,0.426,0.3918352434698449,1500.0
