,precision,recall,f1-score,support
-9,0.0,0.0,0.0,12.0
-8,0.009345794392523364,0.06896551724137931,0.016460905349794237,29.0
-7,0.03508771929824561,0.16216216216216217,0.057692307692307696,37.0
-6,0.05128205128205128,0.0547945205479452,0.052980132450331126,73.0
-5,0.0,0.0,0.0,72.0
-4,0.0,0.0,0.0,65.0
-3,0.049586776859504134,0.06741573033707865,0.05714285714285714,89.0
-2,0.050314465408805034,0.1415929203539823,0.07424593967517402,113.0
-1,0.0,0.0,0.0,132.0
0,0.0,0.0,0.0,1517.0
1,0.06278026905829596,0.11965811965811966,0.08235294117647059,117.0
2,0.07112970711297072,0.1574074074074074,0.09798270893371759,108.0
3,0.04046242774566474,0.08045977011494253,0.053846153846153856,87.0
4,0.019230769230769232,0.009900990099009901,0.0130718954248366,101.0
5,0.0,0.0,0.0,72.0
6,0.03355704697986577,0.06944444444444445,0.04524886877828054,72.0
7,0.0,0.0,0.0,39.0
8,0.0125,0.09090909090909091,0.02197802197802198,33.0
9,0.01466275659824047,0.4166666666666667,0.028328611898017,12.0
accuracy,,,,0.03093525179856115
macro avg,0.0236810412614177,0.0757567021022226,0.031649018123471706,2780.0
weighted avg,0.013994971346269808,0.03093525179856115,0.01816563917364824,2780.0
