,precision,recall,f1-score,support
1,0.09693877551020408,0.06859205776173286,0.08033826638477802,277.0
2,0.10909090909090909,0.022556390977443608,0.03738317757009346,266.0
3,0.10684931506849316,0.1368421052631579,0.12000000000000001,285.0
4,0.12337662337662338,0.13194444444444445,0.12751677852348992,288.0
5,0.057692307692307696,0.03488372093023256,0.04347826086956522,258.0
6,0.11764705882352941,0.024615384615384615,0.04071246819338422,325.0
7,0.10112359550561797,0.1978021978021978,0.13382899628252787,273.0
8,0.10567514677103718,0.19424460431654678,0.13688212927756654,278.0
9,0.11153846153846154,0.09177215189873418,0.10069444444444445,316.0
10,0.07339449541284404,0.11214953271028037,0.08872458410351201,214.0
accuracy,,,,0.10071942446043165
macro avg,0.10033266887900276,0.10154025907201551,0.09095591056493617,2780.0
weighted avg,0.10176678514519547,0.10071942446043165,0.09099512736369814,2780.0
