,precision,recall,f1-score,support
1,0.10240334378265413,0.11187214611872145,0.10692853246044737,876.0
2,0.13043478260869565,0.0780065005417118,0.0976271186440678,923.0
3,0.10377358490566038,0.102803738317757,0.10328638497652584,963.0
4,0.0,0.0,0.0,0.0
5,0.17674418604651163,0.041281912004345465,0.06693086745926904,1841.0
6,0.0918918918918919,0.0374037403740374,0.053166536356528536,909.0
7,0.12286689419795221,0.039473684210526314,0.05975103734439833,912.0
8,0.10586011342155009,0.24008574490889603,0.14693342079370286,933.0
9,0.09533468559837728,0.14242424242424243,0.11421628189550424,990.0
10,0.09054805401111994,0.12709030100334448,0.10575139146567718,897.0
accuracy,,,,0.09671138035482475
macro avg,0.10198575364644133,0.09204420099035823,0.08545915713961212,9244.0
weighted avg,0.11957717530594401,0.09671138035482475,0.09241746723244236,9244.0
