Script directory: /mnt/iusers01/fatpou01/compsci01/n70579mp/scratch/emergent_language/foraging_game
/mnt/iusers01/fatpou01/compsci01/n70579mp/.conda/envs/habitat/lib/python3.9/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
wandb: Currently logged in as: maytusp to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run o2hw8ym4
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /net/scratch/n70579mp/emergent_language/foraging_game/wandb/run-20260417_145143-o2hw8ym4
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sp_pop_ppo_2net_invisible/grid5_img3_ni2_nw5_ms30_comm_field100_seed1
wandb: ⭐️ View project at https://wandb.ai/maytusp/scoreg_layout
wandb: 🚀 View run at https://wandb.ai/maytusp/scoreg_layout/runs/o2hw8ym4
parsed seed: 1
run_name: sp_pop_ppo_2net_invisible/grid5_img3_ni2_nw5_ms30_comm_field100_seed1
save_dir: checkpoints/torch_scoreg_layout/sp_pop_ppo_2net_invisible/grid5_img3_ni2_nw5_ms30_comm_field100/seed1/
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33msp_pop_ppo_2net_invisible/grid5_img3_ni2_nw5_ms30_comm_field100_seed1[0m at: [34mhttps://wandb.ai/maytusp/scoreg_layout/runs/o2hw8ym4[0m
[1;34mwandb[0m: Find logs at: [1;35m../../../../../../../../net/scratch/n70579mp/emergent_language/foraging_game/wandb/run-20260417_145143-o2hw8ym4/logs[0m
NUM PARAMS: 192391
NUM PARAMS: 192391
SPS: 10819
SPS: 10733
SPS: 14203
SPS: 14128
SPS: 15839
SPS: 15777
SPS: 16799
SPS: 16747
SPS: 17419
SPS: 17374
SPS: 17841
SPS: 17802
SPS: 18138
SPS: 18103
SPS: 18348
SPS: 18317
SPS: 18513
SPS: 18485
SPS: 18622
SPS: 18596
SPS: 18702
SPS: 18679
SPS: 18756
SPS: 18735
SPS: 18786
SPS: 18766
SPS: 18794
SPS: 18775
SPS: 18794
SPS: 18776
SPS: 18783
SPS: 18766
SPS: 18773
SPS: 18758
SPS: 18752
SPS: 18737
SPS: 18728
SPS: 18714
SPS: 18708
SPS: 18695
SPS: 18691
SPS: 18679
SPS: 18669
SPS: 18657
SPS: 18643
SPS: 18632
SPS: 18620
SPS: 18609
SPS: 18603
SPS: 18593
SPS: 18586
SPS: 18577
SPS: 18574
SPS: 18565
SPS: 18565
SPS: 18556
SPS: 18561
SPS: 18552
SPS: 18560
SPS: 18552
SPS: 18562
SPS: 18553
SPS: 18565
SPS: 18557
SPS: 18572
SPS: 18564
SPS: 18577
SPS: 18570
SPS: 18580
SPS: 18573
SPS: 18584
SPS: 18577
SPS: 18583
SPS: 18576
SPS: 18579
SPS: 18572
SPS: 18576
SPS: 18569
SPS: 18570
SPS: 18564
SPS: 18569
SPS: 18562
SPS: 18563
SPS: 18557
SPS: 18558
SPS: 18552
SPS: 18548
SPS: 18542
SPS: 18535
SPS: 18529
SPS: 18519
SPS: 18514
SPS: 18503
SPS: 18498
SPS: 18485
SPS: 18480
SPS: 18468
SPS: 18463
SPS: 18450
SPS: 18445
SPS: 18433
SPS: 18428
SPS: 18415
SPS: 18410
SPS: 18397
SPS: 18393
SPS: 18380
SPS: 18375
SPS: 18362
SPS: 18358
SPS: 18346
SPS: 18342
SPS: 18330
SPS: 18325
SPS: 18312
SPS: 18308
SPS: 18291
SPS: 18287
SPS: 18270
SPS: 18266
SPS: 18252
SPS: 18248
SPS: 18232
SPS: 18228
SPS: 18210
SPS: 18206
SPS: 18188
SPS: 18184
SPS: 18167
SPS: 18163
SPS: 18145
SPS: 18142
SPS: 18124
SPS: 18120
SPS: 18102
SPS: 18099
SPS: 18080
SPS: 18077
SPS: 18058
SPS: 18055
SPS: 18037
SPS: 18034
SPS: 18013
SPS: 18010
SPS: 17986
SPS: 17982
SPS: 17959
SPS: 17956
SPS: 17933
SPS: 17929
SPS: 17910
SPS: 17907
SPS: 17885
SPS: 17882
SPS: 17862
SPS: 17859
SPS: 17838
SPS: 17835
SPS: 17813
SPS: 17810
SPS: 17787
SPS: 17784
SPS: 17760
SPS: 17757
SPS: 17733
SPS: 17730
SPS: 17704
SPS: 17701
SPS: 17676
SPS: 17673
SPS: 17647
SPS: 17644
SPS: 17618
SPS: 17616
SPS: 17590
SPS: 17587
SPS: 17561
SPS: 17559
SPS: 17532
SPS: 17530
SPS: 17503
SPS: 17500
SPS: 17473
SPS: 17470
SPS: 17443
SPS: 17440
SPS: 17414
SPS: 17411
SPS: 17386
SPS: 17384
SPS: 17359
SPS: 17356
SPS: 17329
SPS: 17327
SPS: 17301
SPS: 17298
SPS: 17272
SPS: 17270
SPS: 17244
SPS: 17242
SPS: 17217
SPS: 17215
SPS: 17189
SPS: 17187
SPS: 17159
SPS: 17157
SPS: 17131
SPS: 17129
Model saved to checkpoints/torch_scoreg_layout/sp_pop_ppo_2net_invisible/grid5_img3_ni2_nw5_ms30_comm_field100/seed1/agent_0_step_25600000.pt
Model saved to checkpoints/torch_scoreg_layout/sp_pop_ppo_2net_invisible/grid5_img3_ni2_nw5_ms30_comm_field100/seed1/agent_1_step_25600000.pt
SPS: 17103
SPS: 17101
SPS: 17074
SPS: 17072
SPS: 17047
SPS: 17045
SPS: 17018
SPS: 17016
SPS: 16990
SPS: 16988
SPS: 16963
SPS: 16961
SPS: 16936
SPS: 16934
SPS: 16910
SPS: 16908
SPS: 16883
SPS: 16881
SPS: 16856
SPS: 16855
SPS: 16830
SPS: 16829
SPS: 16804
SPS: 16802
SPS: 16777
SPS: 16775
SPS: 16750
SPS: 16748
SPS: 16725
SPS: 16723
SPS: 16700
SPS: 16698
SPS: 16675
SPS: 16673
SPS: 16651
SPS: 16649
SPS: 16627
SPS: 16625
SPS: 16602
SPS: 16600
SPS: 16577
SPS: 16576
SPS: 16554
SPS: 16553
SPS: 16531
SPS: 16530
SPS: 16509
SPS: 16507
SPS: 16486
SPS: 16484
SPS: 16462
SPS: 16461
SPS: 16439
SPS: 16438
SPS: 16416
SPS: 16414
SPS: 16393
SPS: 16391
SPS: 16369
SPS: 16368
SPS: 16346
SPS: 16345
SPS: 16324
SPS: 16323
SPS: 16302
SPS: 16300
SPS: 16280
SPS: 16279
SPS: 16258
SPS: 16257
SPS: 16237
SPS: 16235
SPS: 16216
SPS: 16214
SPS: 16196
SPS: 16195
SPS: 16177
SPS: 16175
SPS: 16156
SPS: 16155
SPS: 16136
SPS: 16135
SPS: 16117
SPS: 16116
SPS: 16097
SPS: 16096
SPS: 16078
SPS: 16076
SPS: 16059
SPS: 16057
SPS: 16040
SPS: 16038
SPS: 16021
SPS: 16020
SPS: 16003
SPS: 16002
SPS: 15985
SPS: 15984
SPS: 15967
SPS: 15966
SPS: 15949
SPS: 15948
SPS: 15932
SPS: 15931
SPS: 15914
SPS: 15913
SPS: 15897
SPS: 15896
SPS: 15881
SPS: 15880
SPS: 15865
SPS: 15863
SPS: 15848
SPS: 15847
SPS: 15831
SPS: 15830
SPS: 15815
SPS: 15814
SPS: 15799
SPS: 15798
SPS: 15783
SPS: 15781
SPS: 15767
SPS: 15766
SPS: 15751
SPS: 15750
SPS: 15735
SPS: 15734
SPS: 15720
SPS: 15719
SPS: 15704
SPS: 15703
SPS: 15690
SPS: 15689
SPS: 15675
SPS: 15674
SPS: 15661
SPS: 15660
SPS: 15647
SPS: 15646
SPS: 15633
SPS: 15632
SPS: 15618
SPS: 15617
SPS: 15603
SPS: 15602
SPS: 15589
SPS: 15588
SPS: 15574
SPS: 15573
SPS: 15560
SPS: 15559
SPS: 15546
SPS: 15545
SPS: 15532
SPS: 15531
SPS: 15519
SPS: 15518
SPS: 15505
SPS: 15504
SPS: 15492
SPS: 15491
SPS: 15480
SPS: 15479
SPS: 15467
SPS: 15466
SPS: 15454
SPS: 15453
SPS: 15441
SPS: 15441
SPS: 15429
SPS: 15428
SPS: 15416
SPS: 15415
SPS: 15404
SPS: 15403
SPS: 15391
SPS: 15390
SPS: 15379
SPS: 15378
SPS: 15367
SPS: 15366
SPS: 15355
SPS: 15354
SPS: 15343
SPS: 15342
SPS: 15332
SPS: 15331
SPS: 15320
SPS: 15319
SPS: 15309
SPS: 15308
SPS: 15298
SPS: 15297
SPS: 15287
SPS: 15286
SPS: 15276
SPS: 15275
SPS: 15265
SPS: 15264
SPS: 15254
SPS: 15254
SPS: 15243
SPS: 15243
SPS: 15232
SPS: 15232
SPS: 15221
SPS: 15220
Model saved to checkpoints/torch_scoreg_layout/sp_pop_ppo_2net_invisible/grid5_img3_ni2_nw5_ms30_comm_field100/seed1/agent_0_step_51200000.pt
Model saved to checkpoints/torch_scoreg_layout/sp_pop_ppo_2net_invisible/grid5_img3_ni2_nw5_ms30_comm_field100/seed1/agent_1_step_51200000.pt
SPS: 15210
SPS: 15209
SPS: 15199
SPS: 15198
SPS: 15187
SPS: 15186
SPS: 15176
SPS: 15175
SPS: 15166
SPS: 15165
SPS: 15155
SPS: 15154
SPS: 15145
SPS: 15144
SPS: 15134
SPS: 15133
SPS: 15123
SPS: 15123
SPS: 15114
SPS: 15113
SPS: 15104
SPS: 15103
SPS: 15094
SPS: 15093
SPS: 15084
SPS: 15083
SPS: 15075
SPS: 15074
SPS: 15065
SPS: 15065
SPS: 15056
SPS: 15056
SPS: 15047
SPS: 15046
SPS: 15038
SPS: 15037
SPS: 15029
SPS: 15028
SPS: 15020
SPS: 15020
SPS: 15011
SPS: 15011
SPS: 15003
SPS: 15002
SPS: 14994
SPS: 14993
SPS: 14985
SPS: 14984
SPS: 14976
SPS: 14975
SPS: 14967
SPS: 14966
SPS: 14958
SPS: 14958
SPS: 14950
SPS: 14949
SPS: 14942
SPS: 14941
SPS: 14933
SPS: 14933
SPS: 14926
SPS: 14925
SPS: 14917
SPS: 14917
SPS: 14909
SPS: 14909
SPS: 14901
SPS: 14900
SPS: 14893
SPS: 14892
SPS: 14885
SPS: 14884
SPS: 14877
SPS: 14876
SPS: 14869
SPS: 14868
SPS: 14861
SPS: 14860
SPS: 14853
SPS: 14852
SPS: 14845
SPS: 14844
SPS: 14837
SPS: 14837
SPS: 14830
SPS: 14829
SPS: 14822
SPS: 14821
SPS: 14814
SPS: 14814
SPS: 14787
SPS: 14787
SPS: 14780
SPS: 14779
SPS: 14772
SPS: 14772
SPS: 14765
SPS: 14764
SPS: 14757
SPS: 14757
SPS: 14750
SPS: 14749
SPS: 14743
SPS: 14742
SPS: 14736
SPS: 14735
SPS: 14729
SPS: 14728
SPS: 14722
SPS: 14721
SPS: 14715
SPS: 14714
SPS: 14708
SPS: 14708
SPS: 14702
SPS: 14701
SPS: 14695
SPS: 14694
SPS: 14688
SPS: 14687
SPS: 14681
SPS: 14681
SPS: 14675
SPS: 14674
SPS: 14669
SPS: 14668
SPS: 14663
SPS: 14662
SPS: 14656
SPS: 14655
SPS: 14650
SPS: 14649
SPS: 14644
SPS: 14643
SPS: 14638
SPS: 14637
SPS: 14632
SPS: 14631
SPS: 14626
SPS: 14625
SPS: 14620
SPS: 14619
SPS: 14614
SPS: 14614
SPS: 14608
SPS: 14608
SPS: 14602
SPS: 14602
SPS: 14597
