Job is using 1 GPU(s) with ID(s) 0 and 12 CPU core(s)
/mnt/iusers01/fatpou01/compsci01/n70579mp/.conda/envs/habitat/lib/python3.9/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
wandb: Currently logged in as: maytusp to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run fe6nc265
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /net/scratch/n70579mp/emergent_language/foraging_game/wandb/run-20260326_090615-fe6nc265
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ppo_3net_nocom/grid13_img7_ni2_nw4_ms30_comm_field7_seed1
wandb: ⭐️ View project at https://wandb.ai/maytusp/scoreg_layout
wandb: 🚀 View run at https://wandb.ai/maytusp/scoreg_layout/runs/fe6nc265
parsed seed: 1
run_name: ppo_3net_nocom/grid13_img7_ni2_nw4_ms30_comm_field7_seed1
save_dir: checkpoints/torch_scoreg_layout/ppo_3net_nocom/grid13_img7_ni2_nw4_ms30_comm_field7/seed1/
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mppo_3net_nocom/grid13_img7_ni2_nw4_ms30_comm_field7_seed1[0m at: [34mhttps://wandb.ai/maytusp/scoreg_layout/runs/fe6nc265[0m
[1;34mwandb[0m: Find logs at: [1;35m../../../../../../../../net/scratch/n70579mp/emergent_language/foraging_game/wandb/run-20260326_090615-fe6nc265/logs[0m
NUM PARAMS: 212726
NUM PARAMS: 212726
NUM PARAMS: 212726
SPS: 15881
SPS: 15698
SPS: 20667
SPS: 20512
SPS: 22937
SPS: 22809
SPS: 24275
SPS: 24167
SPS: 25126
SPS: 25032
SPS: 25728
SPS: 25647
SPS: 26187
SPS: 26115
SPS: 26527
SPS: 26462
SPS: 26811
SPS: 26753
SPS: 27053
SPS: 26999
SPS: 27250
SPS: 27200
SPS: 27416
SPS: 27370
SPS: 27562
SPS: 27519
SPS: 27689
SPS: 27649
SPS: 27803
SPS: 27766
SPS: 27901
SPS: 27866
SPS: 27988
SPS: 27955
SPS: 28058
SPS: 28026
SPS: 28122
SPS: 28091
SPS: 28179
SPS: 28150
SPS: 28233
SPS: 28205
SPS: 28282
SPS: 28255
SPS: 28325
SPS: 28299
SPS: 28361
SPS: 28336
SPS: 28397
SPS: 28374
SPS: 28433
SPS: 28411
SPS: 28470
SPS: 28448
SPS: 28503
SPS: 28481
SPS: 28533
SPS: 28512
SPS: 28563
SPS: 28543
SPS: 28591
SPS: 28572
SPS: 28619
SPS: 28600
SPS: 28644
SPS: 28626
SPS: 28669
SPS: 28651
SPS: 28691
SPS: 28674
SPS: 28713
SPS: 28697
SPS: 28733
SPS: 28717
SPS: 28754
SPS: 28738
SPS: 28772
SPS: 28757
SPS: 28789
SPS: 28774
SPS: 28807
SPS: 28792
SPS: 28824
SPS: 28809
SPS: 28837
SPS: 28823
SPS: 28854
SPS: 28841
SPS: 28870
SPS: 28857
SPS: 28885
SPS: 28872
SPS: 28899
SPS: 28886
SPS: 28910
SPS: 28897
SPS: 28922
SPS: 28910
SPS: 28936
SPS: 28923
SPS: 28950
SPS: 28939
SPS: 28964
SPS: 28953
SPS: 28975
SPS: 28964
SPS: 28987
SPS: 28976
SPS: 28997
SPS: 28986
SPS: 29008
SPS: 28997
SPS: 29016
SPS: 29006
SPS: 29027
SPS: 29017
SPS: 29038
SPS: 29027
SPS: 29048
SPS: 29038
SPS: 29055
SPS: 29045
SPS: 29065
SPS: 29055
SPS: 29071
SPS: 29062
SPS: 29079
SPS: 29070
SPS: 29086
SPS: 29077
SPS: 29091
SPS: 29082
SPS: 29097
SPS: 29088
SPS: 29100
SPS: 29091
SPS: 29103
SPS: 29094
SPS: 29111
SPS: 29102
SPS: 29120
SPS: 29111
SPS: 29129
SPS: 29120
SPS: 29137
SPS: 29128
SPS: 29146
SPS: 29137
SPS: 29155
SPS: 29146
SPS: 29164
SPS: 29156
SPS: 29172
SPS: 29164
SPS: 29181
SPS: 29173
SPS: 29189
SPS: 29181
SPS: 29197
SPS: 29189
SPS: 29205
SPS: 29197
SPS: 29213
SPS: 29205
SPS: 29221
SPS: 29214
SPS: 29229
SPS: 29221
SPS: 29236
SPS: 29228
SPS: 29242
SPS: 29235
SPS: 29249
SPS: 29242
SPS: 29256
SPS: 29249
SPS: 29264
SPS: 29257
SPS: 29272
SPS: 29265
SPS: 29279
SPS: 29272
SPS: 29285
SPS: 29278
SPS: 29290
SPS: 29284
SPS: 29294
SPS: 29288
SPS: 29298
SPS: 29292
SPS: 29303
SPS: 29296
SPS: 29306
SPS: 29300
SPS: 29311
SPS: 29304
SPS: 29317
SPS: 29310
SPS: 29322
SPS: 29316
SPS: 29328
SPS: 29321
SPS: 29333
SPS: 29327
SPS: 29338
SPS: 29332
SPS: 29344
SPS: 29338
Model saved to checkpoints/torch_scoreg_layout/ppo_3net_nocom/grid13_img7_ni2_nw4_ms30_comm_field7/seed1/agent_0_step_25600000.pt
Model saved to checkpoints/torch_scoreg_layout/ppo_3net_nocom/grid13_img7_ni2_nw4_ms30_comm_field7/seed1/agent_1_step_25600000.pt
Model saved to checkpoints/torch_scoreg_layout/ppo_3net_nocom/grid13_img7_ni2_nw4_ms30_comm_field7/seed1/agent_2_step_25600000.pt
SPS: 29347
SPS: 29341
SPS: 29352
SPS: 29346
SPS: 29356
SPS: 29350
SPS: 29362
SPS: 29356
SPS: 29366
SPS: 29360
SPS: 29371
SPS: 29365
SPS: 29375
SPS: 29370
SPS: 29380
SPS: 29374
SPS: 29385
SPS: 29379
SPS: 29390
SPS: 29384
SPS: 29393
SPS: 29388
SPS: 29398
SPS: 29393
SPS: 29402
SPS: 29397
SPS: 29406
SPS: 29401
SPS: 29410
SPS: 29405
SPS: 29414
SPS: 29409
SPS: 29418
SPS: 29413
SPS: 29423
SPS: 29418
SPS: 29427
SPS: 29422
SPS: 29431
SPS: 29426
SPS: 29436
SPS: 29431
SPS: 29440
SPS: 29435
SPS: 29443
SPS: 29438
SPS: 29447
SPS: 29442
SPS: 29448
SPS: 29443
SPS: 29450
SPS: 29445
SPS: 29453
SPS: 29448
SPS: 29456
SPS: 29451
SPS: 29459
SPS: 29454
SPS: 29462
SPS: 29457
SPS: 29464
SPS: 29459
SPS: 29467
SPS: 29462
SPS: 29469
SPS: 29464
SPS: 29471
SPS: 29466
SPS: 29474
SPS: 29469
SPS: 29477
SPS: 29472
SPS: 29480
SPS: 29475
SPS: 29483
SPS: 29478
SPS: 29486
