/Users/user/Projects/foraging_game/train_single_dqn.py:122: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_new.cpp:277.)
  image_seq_input = torch.tensor(image_seq, dtype=torch.float32).unsqueeze(0).to(device)
Episode 1/100000, Total Reward: 0, loss: None
Episode 2/100000, Total Reward: 0, loss: None
Episode 3/100000, Total Reward: 0, loss: None
Episode 4/100000, Total Reward: 0, loss: None
Episode 5/100000, Total Reward: 0, loss: None
Episode 6/100000, Total Reward: 0, loss: None
Episode 7/100000, Total Reward: 0, loss: None
Episode 8/100000, Total Reward: 0, loss: None
Episode 9/100000, Total Reward: 0, loss: None
Episode 10/100000, Total Reward: 0, loss: None
Episode 11/100000, Total Reward: 0, loss: None
Episode 12/100000, Total Reward: 0, loss: None
Episode 13/100000, Total Reward: 0, loss: None
Episode 14/100000, Total Reward: 0, loss: None
Episode 15/100000, Total Reward: 0, loss: None
Episode 16/100000, Total Reward: 0, loss: None
Episode 17/100000, Total Reward: 0, loss: None
Episode 18/100000, Total Reward: 0, loss: None
Episode 19/100000, Total Reward: 0, loss: None
Episode 20/100000, Total Reward: 0, loss: None
Episode 21/100000, Total Reward: 0, loss: None
Episode 22/100000, Total Reward: 0, loss: None
Episode 23/100000, Total Reward: 0, loss: None
Episode 24/100000, Total Reward: 0, loss: None
Episode 25/100000, Total Reward: 0, loss: None
Episode 26/100000, Total Reward: 0, loss: None
Episode 27/100000, Total Reward: 0, loss: None
Episode 28/100000, Total Reward: 0, loss: None
Episode 29/100000, Total Reward: 0, loss: None
Episode 30/100000, Total Reward: 0, loss: None
Episode 31/100000, Total Reward: 0, loss: None
Episode 32/100000, Total Reward: 0, loss: None
Episode 33/100000, Total Reward: 0, loss: None
Episode 34/100000, Total Reward: 0, loss: None
Episode 35/100000, Total Reward: 0, loss: None
Episode 36/100000, Total Reward: 0, loss: None
Episode 37/100000, Total Reward: 0, loss: None
Episode 38/100000, Total Reward: 0, loss: None
Episode 39/100000, Total Reward: 0, loss: None
Episode 40/100000, Total Reward: 0, loss: None
Episode 41/100000, Total Reward: 0, loss: None
Episode 42/100000, Total Reward: 0, loss: None
Episode 43/100000, Total Reward: 0, loss: None
Episode 44/100000, Total Reward: 0, loss: None
Episode 45/100000, Total Reward: 0, loss: None
Episode 46/100000, Total Reward: 0, loss: None
Episode 47/100000, Total Reward: 0, loss: None
Episode 48/100000, Total Reward: 0, loss: None
Episode 49/100000, Total Reward: 0, loss: None
Episode 50/100000, Total Reward: 0, loss: None
Episode 51/100000, Total Reward: 0, loss: None
Episode 52/100000, Total Reward: 0, loss: None
Episode 53/100000, Total Reward: 0, loss: None
Episode 54/100000, Total Reward: 0, loss: None
Episode 55/100000, Total Reward: 0, loss: None
Episode 56/100000, Total Reward: 0, loss: None
Episode 57/100000, Total Reward: 0, loss: None
Episode 58/100000, Total Reward: 0, loss: None
Episode 59/100000, Total Reward: 0, loss: None
Episode 60/100000, Total Reward: 0, loss: None
Episode 61/100000, Total Reward: 0, loss: None
Episode 62/100000, Total Reward: 0, loss: None
Episode 63/100000, Total Reward: 0, loss: None
Traceback (most recent call last):
  File "test.py", line 14, in <module>
    from train_single_dqn import *
  File "/Users/user/Projects/foraging_game/train_single_dqn.py", line 285, in <module>
    train_lstm_dql(env, 100000)
  File "/Users/user/Projects/foraging_game/train_single_dqn.py", line 274, in train_lstm_dql
    {"loss": cum_loss / grad_step,
ZeroDivisionError: division by zero
