train_single_dqn.py:122: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_new.cpp:277.)
  image_seq_input = torch.tensor(image_seq, dtype=torch.float32).unsqueeze(0).to(device)
Episode 1/100, Total Reward: -5
Episode 2/100, Total Reward: -5
Episode 3/100, Total Reward: -5
Episode 4/100, Total Reward: -5
Episode 5/100, Total Reward: -5
Episode 6/100, Total Reward: -5
Episode 7/100, Total Reward: -5
Episode 8/100, Total Reward: -5
Episode 9/100, Total Reward: -5
Episode 10/100, Total Reward: -5
Episode 11/100, Total Reward: -5
Episode 12/100, Total Reward: -5
Episode 13/100, Total Reward: -5
Episode 14/100, Total Reward: -5
Episode 15/100, Total Reward: -5
Episode 16/100, Total Reward: -5
Episode 17/100, Total Reward: -5
Episode 18/100, Total Reward: -5
Episode 19/100, Total Reward: -5
Episode 20/100, Total Reward: -5
Episode 21/100, Total Reward: -5
Episode 22/100, Total Reward: -5
Episode 23/100, Total Reward: -5
Episode 24/100, Total Reward: -5
Episode 25/100, Total Reward: -5
Episode 26/100, Total Reward: -5
Episode 27/100, Total Reward: -5
Episode 28/100, Total Reward: -5
Episode 29/100, Total Reward: -5
Episode 30/100, Total Reward: -5
Episode 31/100, Total Reward: -5
Episode 32/100, Total Reward: -5
Episode 33/100, Total Reward: 5
Episode 34/100, Total Reward: -5
Episode 35/100, Total Reward: -5
Episode 36/100, Total Reward: -5
Episode 37/100, Total Reward: -5
Episode 38/100, Total Reward: -5
Episode 39/100, Total Reward: -5
Episode 40/100, Total Reward: -5
Episode 41/100, Total Reward: -5
Episode 42/100, Total Reward: -5
Episode 43/100, Total Reward: -5
Episode 44/100, Total Reward: -5
Episode 45/100, Total Reward: 5
Episode 46/100, Total Reward: -5
Episode 47/100, Total Reward: -5
Episode 48/100, Total Reward: -5
Episode 49/100, Total Reward: -5
Episode 50/100, Total Reward: -5
Episode 51/100, Total Reward: -5
Episode 52/100, Total Reward: -5
Episode 53/100, Total Reward: -5
Episode 54/100, Total Reward: -5
Episode 55/100, Total Reward: -5
Episode 56/100, Total Reward: -5
Episode 57/100, Total Reward: -5
Episode 58/100, Total Reward: -5
Episode 59/100, Total Reward: -5
Episode 60/100, Total Reward: -5
Episode 61/100, Total Reward: -5
Episode 62/100, Total Reward: -5
Episode 63/100, Total Reward: 5
Episode 64/100, Total Reward: -5
Episode 65/100, Total Reward: -5
Episode 66/100, Total Reward: -5
Episode 67/100, Total Reward: -5
Episode 68/100, Total Reward: -5
Episode 69/100, Total Reward: -5
Episode 70/100, Total Reward: -5
Episode 71/100, Total Reward: -5
Episode 72/100, Total Reward: -5
Episode 73/100, Total Reward: -5
Episode 74/100, Total Reward: -5
Episode 75/100, Total Reward: -5
Episode 76/100, Total Reward: -5
Episode 77/100, Total Reward: -5
Episode 78/100, Total Reward: 5
Episode 79/100, Total Reward: -5
Episode 80/100, Total Reward: -5
Episode 81/100, Total Reward: -5
Episode 82/100, Total Reward: 5
Episode 83/100, Total Reward: -5
Episode 84/100, Total Reward: -5
Episode 85/100, Total Reward: -5
Episode 86/100, Total Reward: -5
Episode 87/100, Total Reward: -5
Episode 88/100, Total Reward: -5
Episode 89/100, Total Reward: -5
Episode 90/100, Total Reward: -5
Episode 91/100, Total Reward: -5
Episode 92/100, Total Reward: -5
Episode 93/100, Total Reward: -5
Episode 94/100, Total Reward: -5
Episode 95/100, Total Reward: -5
Episode 96/100, Total Reward: -5
Episode 97/100, Total Reward: -5
Episode 98/100, Total Reward: -5
Episode 99/100, Total Reward: 5
Episode 100/100, Total Reward: -5
